source,target,value,,id,,,
129582,114124,1,,129582,4,0,4
129582,103203,1,,114124,3,1,4
129582,104680,1,,103203,2,2,4
129582,113311,1,,104680,1,3,4
114124,103203,1,,122330,3,0,3
114124,104680,1,,123598,1,0,1
114124,113311,1,,118096,1,0,1
103203,104680,1,,119519,1,0,1
103203,113311,1,,127253,10,0,10
104680,113311,1,,120894,9,1,10
122330,121619,1,,127245,2,0,2
122330,107771,1,,110940,2,0,2
122330,103804,1,,120632,1,1,2
123598,115142,1,,110370,1,0,1
118096,127336,1,,129697,2,0,2
119519,111642,1,,117206,1,1,2
127253,120894,1,,126577,1,2,3
127253,104436,1,,104436,8,2,10
127253,123903,1,,123903,7,3,10
127253,131221,1,,131221,8,4,12
127253,129774,1,,129774,5,5,10
127253,119153,1,,128941,1,0,1
127253,120162,1,,121360,2,0,2
127253,102612,1,,126360,2,0,2
127253,132208,1,,115044,3,0,3
127253,105733,1,,118645,1,0,1
120894,104436,1,,106516,1,0,1
120894,123903,1,,102603,4,0,4
120894,131221,1,,103902,3,0,3
120894,129774,1,,114742,1,1,2
120894,119153,1,,115915,5,0,5
120894,120162,1,,125858,1,0,1
120894,102612,1,,130224,1,0,1
120894,132208,1,,126030,5,0,5
120894,105733,1,,111912,4,1,5
127245,101891,1,,106558,4,2,6
127245,119562,1,,129721,2,3,5
110940,120632,1,,113051,1,0,1
110940,108852,1,,110027,1,0,1
120632,108852,1,,132352,2,0,2
110370,111126,1,,114981,1,1,2
129697,117206,1,,100065,1,0,1
129697,126577,1,,100348,3,1,4
117206,126577,1,,119324,3,0,3
126577,110548,1,,121782,3,0,3
104436,123903,1,,102145,1,0,1
104436,131221,1,,120223,2,1,3
104436,129774,1,,115137,1,2,3
104436,119153,1,,121355,5,4,9
104436,120162,1,,128975,3,0,3
104436,102612,1,,104970,2,1,3
104436,132208,1,,107881,1,2,3
104436,105733,1,,125118,2,0,2
123903,131221,1,,117139,2,0,2
123903,129774,1,,121619,2,1,3
123903,119153,1,,112866,1,0,1
123903,120162,1,,130643,1,1,2
123903,102612,1,,120581,1,0,1
123903,132208,1,,121697,2,0,2
123903,105733,1,,121895,3,0,3
131221,129774,1,,105197,2,0,2
131221,119153,1,,105605,1,1,2
131221,124252,1,,131400,1,0,1
131221,120162,1,,120089,1,0,1
131221,108016,1,,126931,1,1,2
131221,102612,1,,119927,3,0,3
131221,132208,1,,121831,2,0,2
131221,105733,1,,107831,6,1,7
129774,119153,1,,119083,2,0,2
129774,120162,1,,104734,1,1,2
129774,102612,1,,100921,3,0,3
129774,132208,1,,124518,6,1,7
129774,105733,1,,118794,1,2,3
128941,131876,1,,127485,1,0,1
121360,121745,1,,123627,2,0,2
121360,121761,1,,108672,1,0,1
126360,130643,1,,106100,1,0,1
126360,102867,1,,115777,2,0,2
115044,120223,1,,112527,1,0,1
115044,115137,1,,111335,3,0,3
115044,121355,1,,104113,3,0,3
118645,128247,1,,102839,3,0,3
106516,105709,1,,112776,3,0,3
102603,100521,1,,121770,4,0,4
102603,127652,1,,104090,1,0,1
102603,109831,1,,104575,4,0,4
102603,120475,1,,108653,6,0,6
103902,114742,1,,100715,1,0,1
103902,128462,1,,131474,2,1,3
103902,100663,1,,116962,3,0,3
114742,100663,1,,124966,4,0,4
115915,113130,1,,117361,4,3,7
115915,127159,1,,127104,2,0,2
115915,115027,1,,122409,3,1,4
115915,129859,1,,103101,2,0,2
115915,105242,1,,129882,1,0,1
125858,126564,1,,123370,1,0,1
130224,104085,1,,118510,3,0,3
126030,111912,1,,101968,3,0,3
126030,106558,1,,120289,1,0,1
126030,129721,1,,101466,3,1,4
126030,102642,1,,111618,1,0,1
126030,109737,1,,107934,4,0,4
111912,106558,1,,126375,1,1,2
111912,129721,1,,128820,2,0,2
111912,102642,1,,104144,2,0,2
111912,109737,1,,102076,2,0,2
