source,target,value
129582,114124,1
129582,103203,1
129582,104680,1
129582,113311,1
114124,103203,1
114124,104680,1
114124,113311,1
103203,104680,1
103203,113311,1
104680,113311,1
122330,121619,1
122330,107771,1
122330,103804,1
123598,115142,1
118096,127336,1
119519,111642,1
127253,120894,1
127253,104436,1
127253,123903,1
127253,131221,1
127253,129774,1
127253,119153,1
127253,120162,1
127253,102612,1
127253,132208,1
127253,105733,1
120894,104436,1
120894,123903,1
120894,131221,1
120894,129774,1
120894,119153,1
120894,120162,1
120894,102612,1
120894,132208,1
120894,105733,1
127245,101891,1
127245,119562,1
110940,120632,1
110940,108852,1
120632,108852,1
110370,111126,1
129697,117206,1
129697,126577,1
117206,126577,1
126577,110548,1
104436,123903,1
104436,131221,1
104436,129774,1
104436,119153,1
104436,120162,1
104436,102612,1
104436,132208,1
104436,105733,1
123903,131221,1
123903,129774,1
123903,119153,1
123903,120162,1
123903,102612,1
123903,132208,1
123903,105733,1
131221,129774,1
131221,119153,1
131221,124252,1
131221,120162,1
131221,108016,1
131221,102612,1
131221,132208,1
131221,105733,1
129774,119153,1
129774,120162,1
129774,102612,1
129774,132208,1
129774,105733,1
128941,131876,1
121360,121745,1
121360,121761,1
126360,130643,1
126360,102867,1
115044,120223,1
115044,115137,1
115044,121355,1
118645,128247,1
106516,105709,1
102603,100521,1
102603,127652,1
102603,109831,1
102603,120475,1
103902,114742,1
103902,128462,1
103902,100663,1
114742,100663,1
115915,113130,1
115915,127159,1
115915,115027,1
115915,129859,1
115915,105242,1
125858,126564,1
130224,104085,1
126030,111912,1
126030,106558,1
126030,129721,1
126030,102642,1
126030,109737,1
111912,106558,1
111912,129721,1
111912,102642,1
111912,109737,1
106558,129721,1
106558,102642,1
106558,109737,1
106558,104930,1
129721,102642,1
129721,109737,1
113051,109936,1
110027,107709,1
132352,114981,1
132352,115726,1
114981,115726,1
100065,100348,1
100348,121355,1
100348,112064,1
100348,121819,1
119324,101279,1
119324,111660,1
119324,101542,1
121782,131474,1
121782,123110,1
121782,119116,1
102145,124132,1
120223,115137,1
120223,121355,1
115137,121355,1
121355,100056,1
121355,112064,1
121355,121819,1
121355,107250,1
121355,127598,1
128975,104970,1
128975,107881,1
128975,104030,1
104970,107881,1
104970,104030,1
107881,104030,1
125118,122653,1
125118,127972,1
117139,120766,1
117139,128338,1
121619,107771,1
121619,103804,1
112866,112171,1
130643,102867,1
120581,123214,1
121697,105894,1
121697,121704,1
121895,117361,1
121895,129758,1
121895,105485,1
105197,105605,1
105197,106548,1
105605,106548,1
131400,115216,1
120089,126931,1
126931,126766,1
119927,114131,1
119927,116314,1
119927,124093,1
121831,107831,1
121831,103108,1
107831,103108,1
107831,121646,1
107831,112255,1
107831,120007,1
107831,105855,1
107831,127753,1
119083,104734,1
119083,115140,1
104734,115140,1
100921,124518,1
100921,118794,1
100921,128536,1
124518,118794,1
124518,128536,1
124518,103921,1
124518,117090,1
124518,107770,1
124518,120288,1
118794,128536,1
127485,111747,1
123627,125936,1
123627,128659,1
108672,118871,1
106100,116357,1
115777,126375,1
115777,119375,1
112527,130703,1
111335,124176,1
111335,102710,1
111335,106530,1
104113,112025,1
104113,105068,1
104113,106305,1
102839,117361,1
102839,129758,1
102839,117575,1
112776,127096,1
112776,129376,1
112776,115919,1
121770,122409,1
121770,100372,1
121770,115476,1
121770,130155,1
104090,123942,1
104575,113746,1
104575,132151,1
104575,132104,1
104575,131794,1
108653,131917,1
108653,101528,1
108653,113130,1
108653,102408,1
108653,103424,1
108653,102666,1
100715,106347,1
131474,123110,1
131474,119116,1
116962,117361,1
116962,129758,1
116962,117027,1
124966,101466,1
124966,107980,1
124966,123006,1
124966,130488,1
117361,129758,1
117361,117027,1
117361,117575,1
117361,105485,1
127104,100451,1
127104,132421,1
122409,100372,1
122409,115476,1
122409,130155,1
103101,121873,1
103101,101040,1
129882,102933,1
123370,116519,1
118510,121518,1
118510,117456,1
118510,113262,1
101968,121651,1
101968,104095,1
101968,129084,1
120289,108379,1
101466,107980,1
101466,123006,1
101466,130488,1
111618,104920,1
107934,132350,1
107934,121254,1
107934,132324,1
107934,100203,1
126375,119375,1
128820,118371,1
128820,104496,1
104144,117429,1
104144,115518,1
102076,127929,1
102076,115714,1
112560,125110,1
112560,125599,1
112560,111191,1
112560,130182,1
112869,105715,1
103150,128926,1
109847,129756,1
109847,119797,1
109847,119691,1
112052,125560,1
118371,104496,1
117052,119131,1
117052,124784,1
117052,118650,1
117052,114904,1
117052,109684,1
117052,131511,1
113117,129880,1
121240,113912,1
121240,117058,1
117294,114569,1
117294,115786,1
114856,122452,1
125896,126742,1
125896,104876,1
125896,116190,1
125896,129012,1
131917,101528,1
131917,113130,1
131917,102408,1
131917,103424,1
131917,102666,1
111277,107250,1
103877,100502,1
117208,108136,1
127238,125634,1
112732,127799,1
112732,120332,1
100582,108523,1
100582,119760,1
100582,115240,1
100582,120636,1
100582,128831,1
125110,125599,1
125110,111191,1
125110,130182,1
123584,100956,1
110739,114987,1
119153,120162,1
119153,102612,1
119153,132208,1
119153,105733,1
104468,103779,1
123264,104994,1
123264,123004,1
123264,114923,1
123264,123966,1
123264,108013,1
128861,127315,1
128861,104428,1
128861,123641,1
121190,108887,1
105254,124458,1
116500,103506,1
101528,113130,1
101528,102408,1
101528,103424,1
101528,102666,1
111110,125760,1
111110,100036,1
111110,118217,1
129000,113954,1
129000,113092,1
128656,102869,1
104362,120211,1
108005,121719,1
104994,123004,1
104994,114923,1
104994,123966,1
104994,108013,1
103376,117745,1
118554,127496,1
118554,104088,1
118554,112566,1
118554,117117,1
129758,117027,1
